Food Code,Food Name,Group,Type,Air (Water) (g),Energi (Energy) (Kal),Protein (Protein) (g),Lemak (Fat) (g),Karbohidrat (CHO) (g),Serat (Fibre) (g),Abu (ASH) (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (Vit. A) (mcg),Beta-Karoten (Carotenes) (mcg),Thiamin (Vit. B1) (mg),Riboflavin (Vit. B2) (mg),Niasin (Niacin) (mg),Karoten Total (Re) (mcg),Vitamin C (Vit. C) (mg)
HR005,"Alabio duck egg, fresh",Eggs,Raw,70.0,187.0,11.8,14.2,3.0,0.0,1.0,60.0,268.0,6.0,115.0,80.0,0.6,1.7,180.0,437.0,1.55,0.37,0.1,,
DR037,"Ambarella leaves, fresh",Vegetables,Raw,81.0,59.0,3.5,0.3,13.4,10.7,1.8,540.0,82.0,6.2,12.0,579.0,,,,1624.0,0.06,0.2,1.5,2900.0,29.0
ER074,"Ambon banana, fresh",Fruits,Raw,72.9,108.0,1.0,0.8,24.3,1.9,1.0,20.0,30.0,0.2,10.0,0.0,0.2,0.2,,37.0,0.05,0.11,0.1,,9.0
DR072,"Ambon cassave leaves, fresh",Vegetables,Raw,58.0,144.0,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8627.0,0.21,1.0,4.2,13000.0,220.0
DR054,"Ambon matel leaves, fresh",Vegetables,Raw,77.1,71.0,6.8,1.6,11.5,4.6,3.0,93.0,95.0,10.2,,,,,0.0,,0.08,,,49.0,26.0
DR050,"American black nightshade leaves, fresh",Vegetables,Raw,85.0,49.0,4.7,0.5,8.1,,1.7,210.0,80.0,6.1,,,,,,,0.14,,,1900.0,40.0
AP026,Amparan tatak,Cereals,Processed/Products,58.4,191.0,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,
DR073,"Ampenan cassava leaves, fresh",Vegetables,Raw,84.4,50.0,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7917.0,0.5,0.1,1.6,,103.0
GP041,"Anchovy, dried, raw",Fish and Other Seafood,Processed/Products,15.0,277.0,60.0,2.3,1.8,0.0,20.9,1209.0,1225.0,3.0,,,,,90.0,,0.1,,,,0.0
GP042,"Anchovy, dried, unsalted, raw",Fish and Other Seafood,Processed/Products,37.8,170.0,33.4,3.0,0.0,0.0,25.8,1200.0,1500.0,3.6,,,,,64.0,,0.15,,,,0.0
GR078,"Anchovy, fresh",Fish and Other Seafood,Raw,80.9,217.0,11.0,1.7,5.1,,1.3,20.0,390.0,10.9,3.0,7.0,0.2,2.7,,,0.45,0.07,,,
GP043,"Anchovy, ground, raw",Fish and Other Seafood,Processed/Products,16.7,331.0,68.7,4.2,0.0,0.0,10.4,2381.0,1500.0,23.4,,,,,61.0,,0.1,,,,0.0
GP040,"Anchovy, ground, raw",Fish and Other Seafood,Processed/Products,34.5,144.0,32.5,0.6,0.0,0.0,32.4,1000.0,1000.0,3.0,312.0,,,,61.0,,0.1,,,,0.0
DR003,"Andaliman, fresh",Vegetables,Raw,74.2,99.0,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,,,,,0.0,,3.0,,,6300.0,15.0
DR058,"Angled loofah leaves, fresh",Vegetables,Raw,93.0,22.0,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,0.08,0.1,0.8,1000.0,150.0
DR083,"Angled loofah, fresh",Vegetables,Raw,94.5,19.0,0.8,0.2,4.1,1.3,0.4,19.0,33.0,0.9,23.0,109.1,0.0,0.1,,17.0,0.03,0.0,0.4,380.0,8.0
ER075,"Angleng banana (ampyang banana), fresh",Fruits,Raw,80.3,68.0,1.3,0.2,17.2,0.8,1.0,10.0,26.0,0.6,23.0,215.7,0.04,0.0,,9.0,0.08,0.05,2.5,76.0,6.0
DP023,"Anyang, vegetables",Vegetables,Processed/Products,76.9,126.0,3.4,7.9,10.3,5.4,1.5,180.0,1.0,2.9,290.0,181.0,0.3,1.2,,3263.0,0.2,,,,
AP027,"Apang, steamed, kue",Cereals,Processed/Products,49.5,202.0,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,
AP028,"Apem, kue",Cereals,Processed/Products,63.1,148.0,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,
ER004,"Apple, fresh",Fruits,Raw,84.1,58.0,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,,30.0,0.04,0.03,0.1,90.0,5.0
DP024,"Ares, vegetables",Vegetables,Processed/Products,77.7,113.0,0.9,7.2,11.2,4.7,3.0,63.0,5.0,1.5,1413.0,1030.0,0.7,3.8,,6.0,0.1,,0.5,,
BP064,"Arrowroot, flour",Starchy Roots & Tubers,Processed/Products,13.6,355.0,0.7,0.2,85.2,0.4,0.3,8.0,22.0,1.5,2.0,10.7,0.0,0.1,,20.0,0.09,0.0,0.0,3.0,0.0
BR001,"Arrowroot, fresh",Starchy Roots & Tubers,Raw,73.5,102.0,1.0,0.2,24.1,1.7,1.2,28.0,35.0,1.7,36.0,626.6,0.2,0.8,0.0,15.0,0.06,0.1,2.3,0.0,2.0
DP025,Arwan sisir,Vegetables,Processed/Products,59.0,277.0,2.4,25.0,10.7,4.6,2.9,120.0,40.0,2.4,240.0,320.0,0.2,0.9,,1578.0,0.1,0.2,0.0,,11.0
NR001,"Asam arang coklat, fresh",Herbs and Spices,Raw,66.1,130.0,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,,0.0,,,745.0,0.01,0.2,0.0,0.0,0.0
NR002,"Asam arang merah, fresh",Herbs and Spices,Raw,75.9,99.0,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,95.7,0.0,0.1,,529.0,0.01,0.34,1.6,0.0,0.0
NR003,"Asam gelugur, dried",Herbs and Spices,Raw,32.2,261.0,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.4,0.4,0.3,,0.0,0.0,0.0,0.4,0.0,0.0
NR004,"Asam gelugur, fresh",Herbs and Spices,Raw,81.5,75.0,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,93.0,93.2,0.1,0.1,,41.0,0.01,0.0,0.1,0.0,0.0
ER016,"Asam paya, fresh",Fruits,Raw,79.4,78.0,0.6,0.3,18.2,,1.5,1.0,7.0,3.4,7.0,495.0,0.3,0.7,,,0.12,0.0,,,5.0
NR006,"Asam payak, fresh",Herbs and Spices,Raw,65.1,135.0,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0.0,,,,,,0.0,,,0.0,0.0
DR006,"Ash gourd, fresh",Vegetables,Raw,96.1,15.0,0.4,0.2,3.0,0.4,0.3,19.0,19.0,0.4,2.0,131.1,0.02,0.6,,0.0,0.04,0.02,0.3,,13.0
GR011,"Asian swamp eel, fresh",Fish and Other Seafood,Raw,74.9,123.0,15.1,5.5,3.3,0.0,1.2,5.0,146.0,1.3,32.0,349.0,0.1,0.7,,0.0,0.2,0.03,1.2,,
GR044,"Athlantic threadfin, fresh",Fish and Other Seafood,Raw,75.6,99.0,20.6,1.4,0.9,,1.5,164.0,330.0,0.5,76.0,282.0,0.2,0.9,661.0,,0.3,0.02,0.5,,
ER001,"Avocado, fresh",Fruits,Raw,84.3,85.0,0.9,6.5,7.7,,0.6,10.0,20.0,0.9,2.0,278.0,0.2,0.4,,189.0,0.05,0.08,1.0,180.0,13.0
